Date,Price,Open,High,Low,Change %
"Oct 11, 1983",399,399,399,399,0.40%
"Oct 10, 1983",397.4,397.4,397.4,397.4,0.00%
"Oct 07, 1983",397.4,397.4,397.4,397.4,0.86%
"Oct 06, 1983",394,394,394,394,1.16%
"Oct 05, 1983",389.5,389.5,389.5,389.5,-1.02%
"Oct 04, 1983",393.5,393.5,393.5,393.5,1.16%
"Oct 03, 1983",389,389,389,389,-3.95%
"Sep 30, 1983",405,405,405,405,-0.91%
"Sep 29, 1983",408.7,408.7,408.7,408.7,-1.18%
"Sep 28, 1983",413.6,413.6,413.6,413.6,0.34%
"Sep 27, 1983",412.2,412.2,412.2,412.2,-0.67%
"Sep 26, 1983",415,415,415,415,0.48%
"Sep 23, 1983",413,413,413,413,1.30%
"Sep 22, 1983",407.7,407.7,407.7,407.7,-0.85%
"Sep 21, 1983",411.2,411.2,411.2,411.2,-0.27%
"Sep 20, 1983",412.3,412.3,412.3,412.3,0.02%
"Sep 19, 1983",412.2,412.2,412.2,412.2,1.73%
"Sep 15, 1983",405.2,405.2,405.2,405.2,0.87%
"Sep 14, 1983",401.7,401.7,401.7,401.7,-1.23%
"Sep 13, 1983",406.7,406.7,406.7,406.7,-2.17%
"Sep 12, 1983",415.7,415.7,415.7,415.7,0.24%
"Sep 09, 1983",414.7,414.7,414.7,414.7,0.17%
"Sep 08, 1983",414,414,414,414,0.19%
"Sep 07, 1983",413.2,413.2,413.2,413.2,-1.20%
"Sep 06, 1983",418.2,418.2,418.2,418.2,0.17%
"Sep 02, 1983",417.5,417.5,417.5,417.5,0.22%
"Sep 01, 1983",416.6,416.6,416.6,416.6,0.58%
"Aug 31, 1983",414.2,414.2,414.2,414.2,-0.93%
"Aug 30, 1983",418.1,418.1,418.1,418.1,0.38%
"Aug 29, 1983",416.5,416.5,416.5,416.5,-0.12%
"Aug 26, 1983",417,417,417,417,-1.47%
"Aug 25, 1983",423.2,423.2,423.2,423.2,-0.19%
"Aug 24, 1983",424,424,424,424,-0.56%
"Aug 23, 1983",426.4,426.4,426.4,426.4,1.11%
"Aug 22, 1983",421.7,421.7,421.7,421.7,0.96%
"Aug 19, 1983",417.7,417.7,417.7,417.7,-0.90%
"Aug 18, 1983",421.5,421.5,421.5,421.5,-0.24%
"Aug 17, 1983",422.5,422.5,422.5,422.5,0.48%
"Aug 16, 1983",420.5,420.5,420.5,420.5,1.08%
"Aug 15, 1983",416,416,416,416,0.87%
"Aug 12, 1983",412.4,412.4,412.4,412.4,0.17%
"Aug 11, 1983",411.7,411.7,411.7,411.7,0.86%
"Aug 10, 1983",408.2,408.2,408.2,408.2,-1.16%
