,predicted_volatility,actual_volatility
499,0.8252468109130859,3.485132735872436
500,0.813863217830658,3.452313375251386
501,0.7980543971061707,3.4632731177335563
502,0.7793468832969666,3.4572954912162235
503,0.759682297706604,3.445510467886205
504,0.741008996963501,3.4498070501525575
505,0.7249982953071594,3.4551153648805952
506,0.7127533555030823,3.7293764629206
507,0.7061551809310913,3.7182314314593863
508,0.7063907980918884,3.768046509063134
509,0.7136384844779968,3.7672624636304324
510,0.7268685698509216,3.762180646111077
511,0.7440817952156067,3.959356148538635
512,0.7638992071151733,3.9506123432232316
513,0.7849434614181519,3.77837369836979
514,0.8047847151756287,3.8594006570914776
515,0.8215120434761047,3.839276018521002
516,0.8338537812232971,3.830045702189332
517,0.8412567973136902,3.8168925158862206
518,0.8440616130828857,3.8161856948214337
519,0.8432683944702148,3.713558824730225
520,0.8391953110694885,3.729784294506353
521,0.8324795961380005,3.7478276418299266
522,0.8241381049156189,3.7478871756934162
523,0.8152956366539001,3.7920824403251543
524,0.8072518110275269,3.7890282392581556
525,0.8010236620903015,3.6301868800349824
526,0.7963119149208069,3.545315324885421
527,0.7917735576629639,3.4754929607318488
528,0.7858300805091858,3.4775390780385576
529,0.7778080105781555,3.455269457571014
530,0.7676897644996643,3.4565786105634864
531,0.7561639547348022,3.3831950764817402
532,0.7437933683395386,3.3270516893187585
533,0.7309284210205078,3.3218538765983046
534,0.7182959914207458,3.321520882115934
535,0.7066442966461182,3.2751170276512176
536,0.6962361931800842,3.273436425698425
537,0.6873307228088379,3.3065103346697198
538,0.6802733540534973,3.307580447052811
539,0.6753228306770325,3.374956218164376
540,0.6729297637939453,3.3511271527065807
541,0.6732037663459778,3.376216062071762
542,0.6758506298065186,3.380871762675919
543,0.6803416609764099,3.3766454810582216
544,0.6859375238418579,3.3766250968530285
545,0.6918165683746338,3.409341082438787
546,0.6975398063659668,3.3792867707203276
547,0.7027674913406372,3.380344070003553
548,0.7071342468261719,3.365375073337802
549,0.7103043794631958,3.3656675146128747
550,0.7120763063430786,3.369469404205403
551,0.7125166654586792,3.3589542051625476
552,0.7118306159973145,3.3607274126311046
553,0.7104008197784424,3.349603896792691
554,0.7085296511650085,3.344650024599925
555,0.7064198851585388,3.3448621077846368
556,0.7042846083641052,3.0071776563193033
557,0.7005942463874817,3.0288360746178458
558,0.6939210891723633,2.914376129032073
559,0.6831793785095215,2.938927649377173
560,0.6684783697128296,2.940231033186553
561,0.6509606838226318,2.9541379988418286
562,0.6325347423553467,2.952490703079943
563,0.6151439547538757,2.9547294981806136
564,0.6004326343536377,2.849760322263002
565,0.5889319777488708,2.836768476114967
566,0.5804426074028015,2.8591117626638396
567,0.5745723247528076,2.8565260673868456
568,0.5709208250045776,2.86981005403487
569,0.5691075325012207,2.870176280953345
570,0.568789005279541,2.843464082871366
571,0.5694644451141357,2.7882220507340776
572,0.5703613758087158,2.7882203874231597
573,0.5708214044570923,2.7135799234582514
574,0.5700757503509521,2.7383988339665364
575,0.5678147077560425,2.851785683171259
576,0.5647334456443787,2.817718539209807
577,0.5617400407791138,2.734632138774194
578,0.5594319701194763,2.8022705790703593
579,0.5579432249069214,2.802409820422726
580,0.5574837923049927,2.7749232271030015
581,0.5577990412712097,2.7794632373612336
582,0.5585873126983643,2.789644297872068
583,0.5595945119857788,2.941405255190696
584,0.5614120364189148,2.9660024985377467
585,0.5648005604743958,2.9545359808257876
586,0.5701743960380554,3.0551292651274418
587,0.5777549743652344,2.9907154214936726
588,0.586976170539856,2.991224801032008
589,0.5968581438064575,2.9253530131707293
590,0.605954110622406,2.9306009332792904
591,0.6130450963973999,2.9201629982539714
592,0.6174050569534302,2.9234572849776597
593,0.6189049482345581,2.922904101927464
594,0.6178593635559082,2.9336595894577417
595,0.6150364279747009,2.9844858281800293
596,0.6114326119422913,3.022930494820975
597,0.6081469655036926,3.040096465836507
598,0.6062909364700317,3.0418333628076066
599,0.6064698696136475,3.0406356269910604
600,0.6085647940635681,3.037012504683529
601,0.6121525168418884,3.050419583034586
602,0.6166802048683167,3.0483281747433963
603,0.6214985847473145,3.047842497556809
604,0.6259726881980896,3.089003971303088
605,0.6297193169593811,3.213171491522871
606,0.6333921551704407,3.2433211471410153
607,0.6378299593925476,3.2031438901585614
608,0.6432196497917175,3.233858872380013
609,0.6495932340621948,3.202846174137954
