Date,Bonds_10year,NASDAQ_100,NIKKEI_225,XAU_USD
1981-01-09,12.57,197.66000400000001,7248.129883,577.75
1981-01-12,12.45,198.440002,7251.879883,562.0
1981-01-13,12.53,198.050003,7246.799805,562.75
1981-01-14,12.53,199.080002,7244.779785,556.5
1981-01-16,12.53,201.130005,7255.850098000001,560.75
1981-01-19,12.64,201.580002,7296.080078,566.75
1981-01-20,12.5,198.720001,7289.97998,562.0
1981-01-21,12.77,198.08999599999999,7315.330078,578.0
1981-01-22,12.87,197.119995,7293.279785,564.0
1981-01-23,12.84,197.520004,7267.52002,553.0
1981-01-26,12.7,196.130005,7249.419922,528.5
1981-01-27,12.73,197.179993,7285.029785,524.0
1981-01-28,12.77,197.369995,7279.410156,523.5
1981-01-29,12.8,197.880005,7215.120117,493.75
1981-01-30,12.68,197.809998,7254.009765999999,506.5
1981-02-02,12.86,193.08999599999999,7322.060059,493.5
1981-02-03,12.98,193.559998,7291.310059,486.25
1981-02-04,12.86,194.570007,7288.410156,505.0
1981-02-05,12.95,196.28999299999998,7278.439941,498.5
1981-02-06,13.09,197.869995,7264.109863,500.5
1981-02-09,13.21,196.929993,7239.899901999999,512.5
1981-02-10,13.27,196.699997,7261.529785,519.5
1981-02-13,13.65,193.889999,7207.220215,491.5
1981-02-17,13.33,193.979996,7135.910156,500.75
1981-02-18,13.3,194.729996,7157.0,505.0
1981-02-19,13.09,192.740005,7121.649901999999,503.25
1981-02-20,12.9,192.28999299999998,7100.810059,511.5
1981-02-23,13.19,193.059998,7095.259765999999,501.5
1981-02-24,13.21,193.940002,7111.22998,503.0
1981-02-25,13.29,193.990005,7121.660156,500.5
1981-02-26,13.47,196.130005,7120.240234000001,492.0
1981-02-27,13.43,198.009995,7146.529785,489.0
1981-03-02,13.62,199.059998,7155.580078,465.5
1981-03-03,13.43,198.350006,7137.120117,471.0
1981-03-04,13.45,198.75,7134.390137,465.5
1981-03-05,13.43,199.050003,7094.029785,461.5
1981-03-06,13.2,199.889999,7081.189941,467.0
1981-03-09,13.09,200.139999,7068.72998,475.25
1981-03-10,13.08,199.029999,7059.410156,487.25
1981-03-11,13.12,198.16000400000001,7044.870117,476.25
1981-03-12,13.03,200.669998,6986.390137,478.0
1981-03-13,12.86,202.169998,6956.52002,492.0
1981-03-16,12.85,203.440002,7124.330078,499.75
1981-03-17,12.68,203.190002,7120.390137,493.25
1981-03-18,12.58,204.0,7176.669922,506.0
1981-03-19,12.67,204.449997,7196.799805,510.0
1981-03-20,12.77,206.28999299999998,7220.939941,516.75
1981-03-23,13.13,207.619995,7293.569823999999,526.0
1981-03-24,13.3,207.699997,7318.189941,536.25
1981-03-25,13.21,209.309998,7325.959961,528.0
